,H2,O2,N2,CH4,CO,CO2,C2H4,C2H6,C2H2,Dielectric rigidity,Water content,Life expectation,Health index,R1,R2,R3,R4,R5,R6
428,0,4330,11200,0,81,192,0,0,0,57,4,19.0,13.4,0.0,0.0,0.0,0.0,0.0,2.3703703703703702
429,0,19900,43300,0,114,782,0,0,0,54,6,19.0,13.4,0.0,0.0,0.0,0.0,0.0,6.859649122807017
430,0,25800,57100,0,49,427,0,0,0,49,11,6.5,13.4,0.0,0.0,0.0,0.0,0.0,8.714285714285714
431,0,22800,46800,0,66,914,0,0,0,51,4,19.0,13.4,0.0,0.0,0.0,0.0,0.0,13.848484848484848
432,0,23200,45800,0,40,620,0,0,0,52,5,19.0,13.4,0.0,0.0,0.0,0.0,0.0,15.5
433,0,24100,49300,0,84,779,6,0,0,47,7,6.7,13.4,0.0,0.0,0.0,0.0,0.0,9.273809523809524
434,0,24300,50200,0,54,738,0,0,0,55,4,19.0,13.4,0.0,0.0,0.0,0.0,0.0,13.666666666666666
435,0,448,38900,2,24,482,0,99,0,53,12,51.0,13.4,0.0,0.0,0.0,0.0,0.0,20.083333333333332
436,0,22800,44600,0,36,585,0,0,0,51,34,51.0,13.4,0.0,0.0,0.0,0.0,0.0,16.25
437,0,16000,48000,2,426,1360,0,0,0,54,4,19.0,13.4,0.0,0.0,0.0,0.0,0.0,3.192488262910798
438,0,23900,45900,0,49,466,0,0,0,53,4,19.0,13.4,0.0,0.0,0.0,0.0,0.0,9.510204081632653
439,0,20300,62500,0,78,190,0,0,0,56,5,19.0,13.4,0.0,0.0,0.0,0.0,0.0,2.4358974358974357
440,0,19500,54800,0,73,196,0,0,0,56,4,19.0,13.4,0.0,0.0,0.0,0.0,0.0,2.684931506849315
441,0,18400,51700,0,61,304,0,0,0,50,6,19.0,13.4,0.0,0.0,0.0,0.0,0.0,4.983606557377049
442,18,154,42800,5,127,711,3,91,0,53,7,51.0,13.4,0.2777777777777778,0.0,0.0,0.0,0.03296703296703297,5.5984251968503935
443,11,15600,45000,3,309,2240,0,3,0,53,3,19.1,13.4,0.2727272727272727,0.0,0.0,0.0,0.0,7.249190938511327
444,11,1760,56800,2,41,594,3,49,0,60,27,51.0,13.4,0.18181818181818182,0.0,0.0,0.0,0.061224489795918366,14.487804878048781
445,11,1770,48600,0,30,593,0,60,0,58,29,51.0,13.4,0.0,0.0,0.0,0.0,0.0,19.766666666666666
446,11,1780,56900,2,29,867,0,54,0,50,27,51.0,13.4,0.18181818181818182,0.0,0.0,0.0,0.0,29.896551724137932
447,11,265,50800,2,54,1050,0,63,0,50,16,51.0,13.4,0.18181818181818182,0.0,0.0,0.0,0.0,19.444444444444443
448,11,15700,41700,0,62,649,0,0,0,44,16,51.0,13.4,0.0,0.0,0.0,0.0,0.0,10.46774193548387
450,17,262,47400,2,46,1050,4,97,0,57,26,51.0,13.4,0.11764705882352941,0.0,0.0,0.0,0.041237113402061855,22.82608695652174
452,17,259,53300,2,31,561,0,56,0,54,19,51.0,13.4,0.11764705882352941,0.0,0.0,0.0,0.0,18.096774193548388
453,17,233,53500,2,40,1230,3,64,0,59,42,51.0,13.4,0.11764705882352941,0.0,0.0,0.0,0.046875,30.75
454,17,232,48600,2,47,796,0,116,0,50,23,51.0,13.4,0.11764705882352941,0.0,0.0,0.0,0.0,16.93617021276596
455,17,564,14600,5,320,2450,0,0,0,52,6,19.0,13.4,0.29411764705882354,0.0,0.0,0.0,0.0,7.65625
456,16,1050,51600,15,122,12000,0,21,0,47,5,19.0,13.4,0.9375,0.0,0.0,0.0,0.0,98.36065573770492
457,16,2020,56600,6,138,663,0,138,0,58,12,51.0,13.4,0.375,0.0,0.0,0.0,0.0,4.804347826086956
458,16,2270,65400,0,35,604,0,53,0,52,22,51.0,13.4,0.0,0.0,0.0,0.0,0.0,17.257142857142856
459,16,2030,53800,4,44,709,17,183,0,55,22,51.0,13.4,0.25,0.0,0.0,0.0,0.09289617486338798,16.113636363636363
460,12,151,48200,2,34,569,4,48,0,58,20,51.0,13.4,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,16.735294117647058
461,12,1840,61900,2,36,1560,3,72,0,55,36,51.0,13.4,0.16666666666666666,0.0,0.0,0.0,0.041666666666666664,43.333333333333336
462,12,285,52500,2,35,895,0,51,0,54,37,51.0,13.4,0.16666666666666666,0.0,0.0,0.0,0.0,25.571428571428573
463,12,465,52700,2,52,918,0,84,0,55,24,51.0,13.4,0.16666666666666666,0.0,0.0,0.0,0.0,17.653846153846153
464,12,2150,11100,2,170,1440,0,0,0,54,6,19.0,13.4,0.16666666666666666,0.0,0.0,0.0,0.0,8.470588235294118
465,15,227,52900,3,60,853,3,84,0,56,28,51.0,13.4,0.2,0.0,0.0,0.0,0.03571428571428571,14.216666666666667
466,15,334,47100,3,64,622,3,108,0,55,12,51.0,13.4,0.2,0.0,0.0,0.0,0.027777777777777776,9.71875
467,15,1280,35000,2,675,2530,0,0,0,58,8,6.5,13.4,0.13333333333333333,0.0,0.0,0.0,0.0,3.748148148148148
468,15,169,50600,5,77,532,0,72,0,54,11,51.0,13.4,0.3333333333333333,0.0,0.0,0.0,0.0,6.909090909090909
469,15,308,39700,3,64,581,5,27,0,60,18,51.0,13.4,0.2,0.0,0.0,0.0,0.18518518518518517,9.078125
