,H2,O2,N2,CH4,CO,CO2,C2H4,C2H6,C2H2,Dielectric rigidity,Water content,Life expectation,Health index,R1,R2,R3,R4,R5,R6
121,24,35700,85300,5,361,1570,0,0,0,55,7,32.0,38.3,0.20833333333333334,0.0,0.0,0.0,0.0,4.349030470914127
122,24,1330,70800,12,771,2960,3,4,0,50,4,19.0,38.3,0.5,0.0,0.0,0.0,0.75,3.83916990920882
123,22,2820,53100,3,770,2390,3,0,0,43,5,19.0,38.3,0.13636363636363635,0.0,0.0,0.0,0.0,3.103896103896104
124,20,2170,21300,6,307,1960,0,0,0,52,4,19.0,38.3,0.3,0.0,0.0,0.0,0.0,6.384364820846906
125,19,618,20200,15,184,586,2,4,0,47,3,19.1,38.3,0.7894736842105263,0.0,0.0,0.0,0.5,3.1847826086956523
126,8,10600,61600,23,226,4390,0,5,0,52,2,32.0,38.3,2.875,0.0,0.0,0.0,0.0,19.424778761061948
127,8,8710,71900,21,230,5050,0,4,0,55,3,19.1,38.3,2.625,0.0,0.0,0.0,0.0,21.956521739130434
128,7,4973,56032,21,200,4782,0,2,0,66,5,32.0,38.3,3.0,0.0,0.0,0.0,0.0,23.91
129,10,3350,51100,2,678,2360,0,0,0,56,4,19.0,38.3,0.2,0.0,0.0,0.0,0.0,3.4808259587020647
130,9,909,32800,16,279,2820,0,3,0,49,3,32.0,38.3,1.7777777777777777,0.0,0.0,0.0,0.0,10.10752688172043
131,7,8220,55800,18,236,2730,0,4,0,52,2,32.0,38.3,2.5714285714285716,0.0,0.0,0.0,0.0,11.567796610169491
132,7,647,16900,8,152,528,0,0,0,47,3,19.1,38.3,1.1428571428571428,0.0,0.0,0.0,0.0,3.473684210526316
133,7,1430,15400,4,221,268,0,0,0,48,2,32.0,38.3,0.5714285714285714,0.0,0.0,0.0,0.0,1.2126696832579185
134,7,2630,58800,2,784,1410,0,0,0,46,2,32.0,38.3,0.2857142857142857,0.0,0.0,0.0,0.0,1.7984693877551021
135,7,4520,22800,2,157,1080,0,0,0,49,7,6.5,38.3,0.2857142857142857,0.0,0.0,0.0,0.0,6.8789808917197455
136,6,8510,64300,13,291,2050,9,0,0,50,5,19.0,38.3,2.1666666666666665,0.0,0.0,0.0,0.0,7.0446735395189
137,6,13300,36900,0,411,4160,0,0,0,52,55,32.0,38.3,0.0,0.0,0.0,0.0,0.0,10.121654501216545
138,6,6080,40900,5,893,2640,0,0,0,55,12,32.0,38.3,0.8333333333333334,0.0,0.0,0.0,0.0,2.9563269876819707
139,5,12300,70900,17,269,1880,3,5,0,48,2,32.0,38.3,3.4,0.0,0.0,0.0,0.6,6.988847583643123
140,5,12500,48400,3,534,3010,3,0,0,62,3,32.0,38.3,0.6,0.0,0.0,0.0,0.0,5.6367041198501875
141,5,3686,57725,5,158,4331,6,1,0,49,19,6.5,38.3,1.0,0.0,0.0,0.0,6.0,27.411392405063292
142,5,15000,44400,0,230,399,0,0,0,57,4,6.5,38.3,0.0,0.0,0.0,0.0,0.0,1.7347826086956522
143,4,279,20000,8,285,4230,0,4,0,55,3,19.0,38.3,2.0,0.0,0.0,0.0,0.0,14.842105263157896
144,4,13600,37500,3,443,5890,0,7,0,55,77,32.0,38.3,0.75,0.0,0.0,0.0,0.0,13.295711060948081
145,4,17000,56700,1,408,936,0,0,0,48,5,19.0,38.3,0.25,0.0,0.0,0.0,0.0,2.2941176470588234
146,3,20500,44000,0,35,290,0,0,0,48,5,32.0,38.3,0.0,0.0,0.0,0.0,0.0,8.285714285714286
147,3,17400,56700,3,362,2230,4,0,0,48,3,32.0,38.3,1.0,0.0,0.0,0.0,0.0,6.1602209944751385
149,3,22900,48000,0,201,2320,5,0,0,51,4,19.0,38.3,0.0,0.0,0.0,0.0,0.0,11.542288557213931
150,3,23700,49800,0,202,3290,8,0,0,56,4,19.0,38.3,0.0,0.0,0.0,0.0,0.0,16.287128712871286
151,3,21700,43200,0,129,1530,0,0,0,54,21,6.2,38.3,0.0,0.0,0.0,0.0,0.0,11.86046511627907
152,3,19500,42800,0,209,2650,30,0,0,43,23,6.1,38.3,0.0,0.0,0.0,0.0,0.0,12.679425837320574
153,3,18400,45000,0,128,1700,28,0,0,55,12,6.5,38.3,0.0,0.0,0.0,0.0,0.0,13.28125
154,3,14900,56700,0,163,458,0,0,0,50,3,19.0,38.3,0.0,0.0,0.0,0.0,0.0,2.8098159509202456
155,3,12000,35800,0,195,283,0,0,0,55,4,19.0,38.3,0.0,0.0,0.0,0.0,0.0,1.4512820512820512
156,2,24978,76582,2,19,498,0,0,0,55,4,32.0,38.3,1.0,0.0,0.0,0.0,0.0,26.210526315789473
157,2,15900,51300,4,359,2250,0,0,0,49,3,19.0,38.3,2.0,0.0,0.0,0.0,0.0,6.2674094707520895
158,2,24800,54600,3,216,3260,9,0,0,54,6,19.0,38.3,1.5,0.0,0.0,0.0,0.0,15.092592592592593
159,0,24600,50800,0,31,907,9,0,0,53,8,6.5,38.3,0.0,0.0,0.0,0.0,0.0,29.258064516129032
160,0,5010,51800,4,262,845,0,0,0,52,3,19.1,38.3,0.0,0.0,0.0,0.0,0.0,3.2251908396946565
161,0,7520,38100,5,297,778,0,3,0,47,2,32.0,38.3,0.0,0.0,0.0,0.0,0.0,2.6195286195286194
162,0,839,20700,4,458,2830,0,0,0,47,2,32.0,38.3,0.0,0.0,0.0,0.0,0.0,6.179039301310044
163,0,1565,9555,0,111,417,0,0,0,75,7,32.0,38.3,0.0,0.0,0.0,0.0,0.0,3.7567567567567566
164,0,22200,47200,2,223,2650,10,0,0,55,6,19.0,38.3,0.0,0.0,0.0,0.0,0.0,11.883408071748878
165,0,21800,47300,0,249,2510,7,0,0,49,4,32.0,38.3,0.0,0.0,0.0,0.0,0.0,10.080321285140561
166,0,22900,49800,0,205,2190,5,0,0,50,5,19.0,38.3,0.0,0.0,0.0,0.0,0.0,10.682926829268293
167,0,26600,62500,2,209,2190,6,0,0,52,4,32.0,38.3,0.0,0.0,0.0,0.0,0.0,10.47846889952153
168,0,3300,12200,0,118,270,0,0,0,56,3,32.0,38.3,0.0,0.0,0.0,0.0,0.0,2.288135593220339
169,0,1850,61700,0,43,554,0,0,0,51,5,19.0,38.3,0.0,0.0,0.0,0.0,0.0,12.883720930232558
170,0,27200,58900,0,100,609,0,0,0,52,8,6.5,38.3,0.0,0.0,0.0,0.0,0.0,6.09
171,0,24400,47700,0,51,458,0,0,0,56,4,19.0,38.3,0.0,0.0,0.0,0.0,0.0,8.980392156862745
172,0,25200,50000,0,67,462,0,0,0,54,3,32.0,38.3,0.0,0.0,0.0,0.0,0.0,6.895522388059701
173,11,478,19400,11,196,1900,3,5,0,42,2,32.0,38.3,1.0,0.0,0.0,0.0,0.6,9.693877551020408
174,17,5680,59500,16,809,3590,11,0,0,50,3,19.1,38.3,0.9411764705882353,0.0,0.0,0.0,0.0,4.437577255871446
175,12,15200,62800,4,413,4720,5,0,0,56,14,6.5,38.3,0.3333333333333333,0.0,0.0,0.0,0.0,11.428571428571429
176,12,4350,65500,11,870,11100,16,8,0,56,10,6.5,38.3,0.9166666666666666,0.0,0.0,0.0,2.0,12.758620689655173
177,178,4070,27300,144,672,2260,3,10,0,58,12,32.0,38.1,0.8089887640449438,0.0,0.0,0.0,0.3,3.363095238095238
178,10,11900,55100,2,403,1140,6,0,2,30,23,32.0,38.0,0.2,0.3333333333333333,1.0,0.0,0.0,2.8287841191067
179,4,5040,37600,4,597,1440,4,3,2,56,27,32.0,38.0,1.0,0.5,0.5,1.5,1.3333333333333333,2.4120603015075375
180,0,14908,42800,0,52,620,0,0,2,60,7,6.5,38.0,0.0,0.0,0.0,0.0,0.0,11.923076923076923
181,9,578,29200,35,267,1610,52,17,0,50,4,19.0,36.6,3.888888888888889,0.0,0.0,0.0,3.0588235294117645,6.0299625468164795
182,17,3960,36100,29,113,4420,3,5,0,54,2,32.0,36.4,1.7058823529411764,0.0,0.0,0.0,0.6,39.11504424778761
185,14,514,70600,11,674,11700,13,5,1,45,21,6.1,28.1,0.7857142857142857,0.07692307692307693,0.09090909090909091,5.0,2.6,17.359050445103858
186,13,12300,43400,0,309,908,0,0,0,47,26,50.7,26.7,0.0,0.0,0.0,0.0,0.0,2.9385113268608416
187,13,6680,59700,2,236,857,0,0,0,57,4,19.8,26.7,0.15384615384615385,0.0,0.0,0.0,0.0,3.6313559322033897
188,13,283,60700,3,33,649,0,80,0,54,19,50.7,26.7,0.23076923076923078,0.0,0.0,0.0,0.0,19.666666666666668
189,13,3430,16300,3,220,1280,0,0,0,53,3,19.7,26.7,0.23076923076923078,0.0,0.0,0.0,0.0,5.818181818181818
190,13,309,55000,10,121,3340,15,71,0,58,43,50.7,26.7,0.7692307692307693,0.0,0.0,0.0,0.2112676056338028,27.60330578512397
191,14,1170,50900,4,72,1120,3,100,0,60,29,50.7,26.7,0.2857142857142857,0.0,0.0,0.0,0.03,15.555555555555555
192,14,27000,56100,0,27,397,0,0,0,53,7,6.5,26.7,0.0,0.0,0.0,0.0,0.0,14.703703703703704
193,14,437,55000,2,20,645,0,44,0,53,33,50.7,26.7,0.14285714285714285,0.0,0.0,0.0,0.0,32.25
